Categories,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,1683.635354,1605.02435,1905.535263,2148.763414,1965.221492,2445.679726,1663.645933,945.5411039,1449.094915
automobile,1683.635354,0,886.2367499,1027.649782,1143.081367,1216.079428,1191.191999,950.7860778,1303.466548,949.9957711
bird,1605.02435,886.2367499,0,517.3115016,601.2503352,701.4682255,913.7475157,418.2763061,1557.715017,1416.674733
cat,1905.535263,1027.649782,517.3115016,0,469.7917159,412.1816687,677.4919694,596.3767372,1851.214501,1676.467856
deer,2148.763414,1143.081367,601.2503352,469.7917159,0,617.6971411,460.5109295,684.3469106,2065.621657,1830.74085
dog,1965.221492,1216.079428,701.4682255,412.1816687,617.6971411,0,828.5810512,843.6720912,1897.591821,1880.243772
frog,2445.679726,1191.191999,913.7475157,677.4919694,460.5109295,828.5810512,0,948.7040208,2249.199783,1913.24088
horse,1663.645933,950.7860778,418.2763061,596.3767372,684.3469106,843.6720912,948.7040208,0,1660.26808,1347.334102
ship,945.5411039,1303.466548,1557.715017,1851.214501,2065.621657,1897.591821,2249.199783,1660.26808,0,1066.941632
truck,1449.094915,949.9957711,1416.674733,1676.467856,1830.74085,1880.243772,1913.24088,1347.334102,1066.941632,0
